,Departure Date,Return Date,Price HK$,Departure Day,Return Day,Trip Duration,Booking link
0,2022-11-28,2022-12-03,9640,Monday,Saturday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.123431.20e7a3ce81042cb922fbad6463be6bca&h=cb14ab3be533&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
1,2022-11-29,2022-12-04,8470,Tuesday,Sunday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.108450.07cad373a1edc1476b1d9a5d48392e80&h=d9f2a70bfd6c&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
2,2022-11-29,2022-12-05,13842,Tuesday,Monday,6 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.QXebsmr3jTVFj024N3_sTg.177233.00639df34950bc874b6f2b72a141a4a0&h=499965651462&sub=E-1e6b129d235&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
3,2022-11-30,2022-12-04,9640,Wednesday,Sunday,4 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.123431.7a0dd4c7c4efb78bd75a89a57542b358&h=5e83911cb78b&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
4,2022-11-30,2022-12-05,9640,Wednesday,Monday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.123431.3daa1bc9498bed6ce6553d5740dbb896&h=4694140428b3&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
5,2022-11-30,2022-12-06,13842,Wednesday,Tuesday,6 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.QXebsmr3jTVFj024N3_sTg.177233.0f0c0d13366d1cacdf237fc92b7e0177&h=128d3781d65b&sub=E-1e6b129d235&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M2
6,2022-12-01,2022-12-05,8470,Thursday,Monday,4 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.108450.01edae279010a1fd7b5a200752fc1d01&h=0588f739d244&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
7,2022-12-01,2022-12-06,8470,Thursday,Tuesday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.108450.0323751e34a82663e18d7eced8f84d23&h=7a4c59824121&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
8,2022-12-02,2022-12-06,8470,Friday,Tuesday,4 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.108450.1bbc90adbd1c92d42f13253a1ddc3b76&h=681530e9b525&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
9,2022-12-02,2022-12-07,8470,Friday,Wednesday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.108450.128197d901eeb24bffba84417d99c04a&h=11d2f51f151c&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
10,2022-12-03,2022-12-07,10240,Saturday,Wednesday,4 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.131113.769ba2a0533412688b8cb4fca6c419fd&h=15e7829886f0&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
11,2022-12-04,2022-12-09,20442,Sunday,Friday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.QXebsmr3jTVFj024N3_sTg.261739.0099a678c03840ca585a54d92f50fbd4&h=4a730634a1bd&sub=E-1e6b129d235&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
12,2022-12-05,2022-12-09,9264,Monday,Friday,4 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.118616.7f96649142566958c7ae0e16cc23e3f6&h=50eafaa479d6&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
13,2022-12-05,2022-12-10,8554,Monday,Saturday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.109525.0da46313258fa14b570e17c0055157ce&h=0806e844b6dc&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
14,2022-12-06,2022-12-10,8554,Tuesday,Saturday,4 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.109525.0a5fd794596e65c105c1a23f238039cd&h=66b19ab81d54&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
15,2022-12-06,2022-12-11,8554,Tuesday,Sunday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NqHiFhp28R.3trpTcyJlBVFj024N3_sTg.109525.16de4fe2ea0ef0e739cbce18d97dfa1b&h=c7f0b151bd85&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
