,Departure Date,Return Date,Price HK$,Departure Day,Return Day,Trip Duration,Booking link
0,2022-11-28,2022-12-02,12171,Monday,Friday,4 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.155839.086e61888ec4c2443f2fbe53b8e46aaf&h=1746b9aa7823&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
1,2022-11-28,2022-12-03,9304,Monday,Saturday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.119130.195e11313bf4be9c99232ece7861ea4b&h=d67df7c33240&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
2,2022-11-28,2022-12-04,15016,Monday,Sunday,6 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.QXebsmr3jTVFj024N3_sTg.192267.b1222c538dec944902223286782e654a&h=1c7a661945ff&sub=E-1e6b129d235&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M2
3,2022-11-29,2022-12-04,9304,Tuesday,Sunday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.119130.14841eed3bc44c415405405ab89c1ee5&h=314d5272edc8&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
4,2022-11-29,2022-12-05,9304,Tuesday,Monday,6 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.119130.3e7e62b740316d9309b64a4fcd56966a&h=5182f583281e&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
5,2022-11-30,2022-12-05,11124,Wednesday,Monday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.142433.3e76ab2f1c5fe7a4c7afabc5b7dd7582&h=5d495363c557&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
6,2022-11-30,2022-12-06,14416,Wednesday,Tuesday,6 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.QXebsmr3jTVFj024N3_sTg.184585.45fa2897be752ac8dc7a4775a4e02bda&h=f10d77ffa92c&sub=E-1e6b129d235&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
7,2022-12-01,2022-12-06,13482,Thursday,Tuesday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.oRBcnhZp0hVFj024N3_sTg.172626.104d8641e67eba5320c06641d1b3b4a8&h=87411f6fc5d8&sub=E-1103bcc4fc4&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
8,2022-12-01,2022-12-07,9304,Thursday,Wednesday,6 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.119130.3c65001e9c7e253e2f73e7038d07a3aa&h=2be43b83cfbf&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
9,2022-12-02,2022-12-07,9304,Friday,Wednesday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.119130.16242ae36be5548b8923770f48462e71&h=ce9f7639afb5&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
10,2022-12-03,2022-12-08,11724,Saturday,Thursday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.150116.6cbdb0bc1ee3cd57d83442eda99f3185&h=2e14bc23520a&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
11,2022-12-05,2022-12-09,12171,Monday,Friday,4 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.155839.0b712b6b029e23680d3e9cb81e9b75e6&h=a6e9499e9bbc&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
12,2022-12-05,2022-12-10,9304,Monday,Saturday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.119130.321853e06265b58a12182e385c2ebb11&h=24fd1ff6cc05&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M1
13,2022-12-06,2022-12-11,9304,Tuesday,Sunday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.119130.229f0e57df69fd540791b018b4d1c711&h=49d77566bb25&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
14,2022-12-07,2022-12-12,9304,Wednesday,Monday,5 days 00:00:00.000000000,https://www.kayak.com.hk/book/flight?code=NYEiQxx5_j.3trpTcyJlBVFj024N3_sTg.119130.04147db3de97cadddf79d3e65bf52264&h=bfe96a643f97&sub=E-10c61fdcdc9&payment=0.00:HKD:VA:Visa:true&pageOrigin=F..RP.FE.M0
